case_id,arm,evidence,delivered_text,violation_found,violation_category,notes
119781,strict,"Case ID: 119781
Risk level: High
Top contributing features (ranked):
1. V14 - increases risk
2. V12 - increases risk
3. V10 - increases risk","NARRATIVE: This case is rated High risk. The presence of V14, V12, and V10 all contribute to an increased risk.

EVIDENCE:
- V14 - increases risk
- V12 - increases risk
- V10 - increases risk

ACTION: Recommended for manual review.",no,,
42769,strict,"Case ID: 42769
Risk level: High
Top contributing features (ranked):
1. V14 - increases risk
2. V12 - increases risk
3. V10 - increases risk","NARRATIVE: This case is rated High risk. The presence of V14, V12, and V10 all contribute to an increased risk.

EVIDENCE:
- V14 - increases risk
- V12 - increases risk
- V10 - increases risk

ACTION: Recommended for manual review.",no,,
6734,strict,"Case ID: 6734
Risk level: High
Top contributing features (ranked):
1. V14 - increases risk
2. V12 - increases risk
3. V10 - increases risk","NARRATIVE: This case is rated High risk. The presence of V14, V12, and V10 all contribute to an increased risk.

EVIDENCE:
- V14 - increases risk
- V12 - increases risk
- V10 - increases risk

ACTION: Recommended for manual review.",no,,
157868,strict,"Case ID: 157868
Risk level: High
Top contributing features (ranked):
1. V14 - increases risk
2. V12 - increases risk
3. V10 - increases risk","NARRATIVE: This case is rated High risk. The presence of V14, V12, and V10 all contribute to an increased risk.

EVIDENCE:
- V14 - increases risk
- V12 - increases risk
- V10 - increases risk

ACTION: Recommended for manual review.",no,,
223618,strict,"Case ID: 223618
Risk level: High
Top contributing features (ranked):
1. V14 - increases risk
2. V12 - increases risk
3. V10 - increases risk","NARRATIVE: This case is rated High risk. The presence of V14, V12, and V10 all contribute to an increased risk.

EVIDENCE:
- V14 - increases risk
- V12 - increases risk
- V10 - increases risk

ACTION: Recommended for manual review.",no,,
6641,strict,"Case ID: 6641
Risk level: High
Top contributing features (ranked):
1. V14 - increases risk
2. V10 - increases risk
3. V4 - increases risk","NARRATIVE: This case is rated High risk. The presence of V14, V10, and V4 all contribute to an increased risk.

EVIDENCE:
- V14 - increases risk
- V10 - increases risk
- V4 - increases risk

ACTION: Recommended for manual review.",no,,
541,strict,"Case ID: 541
Risk level: High
Top contributing features (ranked):
1. V14 - increases risk
2. V12 - increases risk
3. V10 - increases risk","NARRATIVE: This case is rated High risk. The presence of V14, V12, and V10 all contribute to an increased risk.

EVIDENCE:
- V14 - increases risk
- V12 - increases risk
- V10 - increases risk

ACTION: Recommended for manual review.",no,,
125342,strict,"Case ID: 125342
Risk level: High
Top contributing features (ranked):
1. V14 - increases risk
2. V12 - increases risk
3. V10 - increases risk","NARRATIVE: This case is rated High risk. The presence of V14, V12, and V10 all contribute to an increased risk.

EVIDENCE:
- V14 - increases risk
- V12 - increases risk
- V10 - increases risk

ACTION: Recommended for manual review.",no,,
120837,strict,"Case ID: 120837
Risk level: High
Top contributing features (ranked):
1. V14 - increases risk
2. V10 - increases risk
3. V12 - increases risk","NARRATIVE: This case is rated High risk. The presence of V14, V10, and V12 all contribute to an increased risk.

EVIDENCE:
- V14 - increases risk
- V10 - increases risk
- V12 - increases risk

ACTION: Recommended for manual review.",no,,
163586,strict,"Case ID: 163586
Risk level: High
Top contributing features (ranked):
1. V14 - increases risk
2. V10 - increases risk
3. V12 - increases risk","NARRATIVE: This case is rated High risk. The presence of V14, V10, and V12 all contribute to an increased risk.

EVIDENCE:
- V14 - increases risk
- V10 - increases risk
- V12 - increases risk

ACTION: Recommended for manual review.",no,,
